# Author: Squire, M. & Gazda, R.
# License: Open Database License 1.0
# This data 2012LTinsultsLKML.tsv.txt is made available under the 
# Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. 
# Any rights in individual contents of the database are licensed under the 
# Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/ 
#
# filename: 2012LTinsultsLKML.tsv.txt
# explanation: 
# This data set is part of a larger group of data sets
# described in the paper below, and hosted on the FLOSSmole.org site. 
# Contains insults gleaned from messages sent to the LKML mailing list by 
# Linus Torvalds during the year 2012
#
# fields:
# date: this is the date the original email was sent
# markmail permalink: this is a permalink to the email on markmail (for easy reading)
# type: this is our code for what type of insult this is
# mail excerpt: this is the fragment of the email containing the insult(s). 
# Ellipses (...) have been added where necessary.
#
# Please cite the paper and FLOSSmole as follows:
#
# Citations:
# Squire, M. & Gazda, R. (2015). FLOSS as a source for profanity 
# and insults: Collecting the data. In Proceedings of 48th 
# Hawai'i International Conference on System 
# Sciences (HICSS-48). IEEE. Hawaii, USA. 5290-5298
#
# Howison, J., Conklin, M., & Crowston, K. (2006). FLOSSmole: A 
# collaborative repository for FLOSS research data and analyses. 
# International Journal of Information Technology and Web 
# Engineering, 1(3), 17–26.
# 
date	markmail permalink	type(code, personal, both, unsure)	mail excerpt
1/1/2012 12:29:41	http://markmail.org/message/vdhbsasqzqnbx2od	B	WRONG. Alan, you're not getting it. Loading firmware as part of suspend/resume is WRONG.
1/2/2012 14:03:04	http://markmail.org/message/wajnh3ivnydeegrr	P	What the heck is your problem? Go back and read it. If it wasn't loaded before, THEN IT WASN'T WORKING BEFORE EITHER! ... Why the hell do you keep on harping on idiotic issues? Stop being a moron, just repeat after me: A caching firmware loader fixes all these issues and is simple to boot. Stop the idiotic blathering already.
1/2/2012 14:19:14	http://markmail.org/message/6yuyz57cmrgo5fbe	B	Why do you make up all these idiotic theoretical cases that nobody cares about and has no relevance what-so-ever for the 99%? Seriously? It's just stupid. ... You seem to *intentionally* be off in some random alternate reality that is not relevant to anybody else, or to the actual reported problems at hand.
1/5/2012 8:15:43	http://markmail.org/message/67cwg72lysi7isn4	C	Whjat the f*ck is the logic there? Just fix the *obvious* breakage in BLKROSET. It's clearly what the code *intends* to do, it just didn't check for ENOIOCTLCMD. ... It's a DISEASE how you seem to think that "we have ugly mistakes in the kernel, SO LET'S ADD ANOTHER ONE". That's not how we do things. We *fix* things, instead of making things even *worse*. Stop this insanity from spreading, instead of making it spread more!
1/5/2012 9:04:08	http://markmail.org/message/7mbldkqli45vetes	B	You are the one who seems to just want to add hack upon hack to things. THAT is what I really hate. It's not only in bad taste, it *will* come back and bite us some day.
1/6/2012 14:12:58	http://markmail.org/message/2xzd4gfthx7cx4qa	B	Hell no! Why do you send me this sh*t? The "Use NMI instead of REBOOT_VECTOR" commit has been reported to not work AT ALL. It was totally broken... yet you send me this KNOWN BROKEN CRAP. And yes, I checked. The version you sent me is the f*cked one. I was hoping that you would have fixed it up. But no. In short, you didn't merge the fix, and yet you sent me a patch series that was *known* to be broken for the last three+ weeks! ... Why? WHAT THE F*CK HAPPENED, INGO? Yes, I'm angry as hell. Shit like this should NOT happen.  I don't want people sending me known-buggy pull requests.
1/10/2012 10:26:38	http://markmail.org/message/zl7vtxfzr46qz7vj	C	Mark, I pulled this, but I was *this* close to unpulling it because it's such an unholy mess. You seem to do the crazy "daily pull" crap that NOBODY IS EVER SUPPOSED TO DO. There are lots of totally pointless ... merge commits, and no, that's not ok.... Just don't do it. There's no excuse. The *only* time you should merge is when a sub lieutenant asks you to - and if you have people who work with you and ask you to do pointless merges almost every day, just tell them to shut the f*ck up already!...But dammit, don't then do development on top of that kind of crap - use that branch *only* for linux-next, not for anything else, and don't ask me to pull that polluted piece of sh*t. ...But never *ever* have those stupid pointless "Merge remote-tracking branch 'regulator/for-linus' into regulator-next" in the branch you actually use for development, and the branch you send to me.
1/10/2012 10:36:36	http://markmail.org/message/mm4j5aparrhrd2uj	C	No it's not. Please fix your crappy script. First off, that '#' is wrong. It should be a space.
1/10/2012 11:18:21	http://markmail.org/message/etgqfjizy2bnlueb	B	...You did *two* of the merges within hours of each other! ... That's just crazy. The fact that you then say that you have some kind of *excuse* for that craziness is just sad. Stop doing that. It's stupid. It just makes it harder for everybody to see what you are doing. ...Can't you see how crazy that is?
1/11/2012 22:41:13	http://markmail.org/message/pfxugcxqxjfriph5	P	Stop being a moron. Go back and read the "nobody can work with you".
1/14/2012 18:18:39	http://markmail.org/message/jbizb5ughu4fqxrb	P	That statement is so nonsensical that I can't get past it. When you understand why it is nonsensical, you understand why the bit is cleared. Feel free to bring this up again without that idiotic statement as an argument.
1/16/2012 16:59:18	http://markmail.org/message/qsuq427y6dwkf4hy	B	So stop spouting garbage.
1/18/2012 11:47:31	http://markmail.org/message/dq2ynrzxr7pmwats	B	.. And how the f*^& did you imagine that something like chrome would do that? You need massive amounts of privileges, and it's a total disaster in every single respect. Stop pushing crap. No, ptrace isn't wonderful, but your LSM+auditing idea is a billion times worse in all respects. ... THERE IS NO WAY IN HELL YOU CAN EVER FIX LSM+AUDIT TO BE USABLE! Stop bothering to even bring it up. It's dead, Jim.
1/23/2012 8:05:49	http://markmail.org/message/ch4twebkpi6b2mbl	C	And this is just insanity. The "barrier()" cannot *possibly* do anything sane. If it really makes a difference, there is again some serious problem with the whole f*cking thing. NAK on the patch until sanity is restored. This is just total voodoo programming.
1/23/2012 10:45:12	http://markmail.org/message/onbcv4qmrw4tbv5s	C	This still doesn't make sense. Why do that stupid allocation? Why not just move the entry? Why doesn't just the sane approach work? What the f*^& does that pci_stop_bus_device() function do ...And if it does anything else, it should damn well stop doing that. The *exact* same loop is then apparently working for the virtual device case, so what the hell is going on that it wouldn't work for the physical one? What's the confusion? Why all the crazy idiotic code that makes no sense?
1/23/2012 11:34:02	http://markmail.org/message/uuekhii7gppgrchm	C	...which at least isn't butt ugly. ... Who is in charge of the whole 'is_virtfn' mess? How realistic is it to fix that crud?
1/23/2012 11:44:07	http://markmail.org/message/do7uzydtoet263qb	C	Ugh. Ok, so that's a disgusting hack, but it's better than messing up the generic PCI subsystem. At least it's a disgusting hack in the IOV code.
2/1/2012 15:14:51	http://markmail.org/message/dxz4tb3kjl4bp6gv	C	I think this patch is horrible, and broken. And making the feature a config option is just stupid.
2/3/2012 17:27:13	http://markmail.org/message/ksmb5zyz2lqibbtz	C	I hate this patch. Why? Because mindless checks like this would just lead to people making things worse and intermixing spaces there instead.
2/10/2012 10:59:28	http://markmail.org/message/dbru76xfj6x3kwrw	C	I never *ever* want to see this code ever again. Sorry, but last time was too f*cking painful. 
2/19/2012 10:45:03	http://markmail.org/message/hajos5jgikouyqzz	C	Duh. That is just broken. ... That's just stupid. 
2/23/2012 9:17:58	http://markmail.org/message/jkqbwy67dldnsw64	B	Ingo, stop with the stupid denialism. NOBODY likes that name. NOBODY. It's wrong. It's stupid. It sounds like a stronger "unlikely()", and it simply IS NOT. So rename it already. ...
2/27/2012 8:23:29	http://markmail.org/message/dr3rwlsdmbskwd25	C	There's two of those *stupid* merges that have no reason for existing, no explanation, and are just ugly. Don't do this, guys! ... Christ. I really don't like stupid unnecessary merges. ... The above is really just a f*cking abomination, and says "somebody is doing something horribly wrong".
2/27/2012 15:25:53	http://markmail.org/message/5m6tpd4ndfhmgwmb	P	Congratulations, you seem to have found a whole new and unique way of screwing up ;) Linus "my mom called me 'special' too" Torvalds
2/28/2012 10:34:26	http://markmail.org/message/elh6nu2xnuhnih4a	C	Oh christ. This is exactly what the scheduler has ALWAYS ALREADY DONE FOR YOU. ... Stop doing it. You get *zero* advantages from just doing what the scheduler natively does for you, and the scheduler does it *better*.
3/1/2012 8:22:31	http://markmail.org/message/jbumffinfr6z2fgw	C	Ugh. But my patch was crap. It fixed up "arg", but it *should* have fixed up "cmd". Stupid.
3/8/2012 15:40:03	http://markmail.org/message/d4dfw53uqwhdj24i	B	Stop right there. ... This is about your patch BREAKING EXISTING BINARIES. So stop the f*&^ing around already. The patch was shown to be broken, stop making excuses, and stop blathering. End of story. Binary compatibility is more important than *any* of your patches. If you continue to argue anything else or making excuses, I'm going to ask people to just ignore your patches entirely. Seriously. ... Dammit, I'm continually surprised by the *idiots* out there that don't understand that binary compatibility is one of the absolute top priorities. ... Breaking existing binaries ... is just about the *worst* offense any kernel developer can do. Because that shows that they don't understand what the whole *point* of the kernel was after all. We're not masturbating around with some research project.  We never were. Even when Linux was young, the whole and only point was to make a *usable* system. It's why it's not some crazy drug-induced microkernel or other random crazy thing. Really.
3/10/2012 13:48:58	http://markmail.org/message/rejdrjwxjpsjhcbz	B	Christ. This one is too ugly to live. I'm not pulling crap like this. It's f*^&ing stupid to take a lock, calculate a bitqueue, and just generally be an absolute ass-hat about things for waiting for a bit that is already set 99.999% of the time.
3/12/2012 3:11:20	http://markmail.org/message/ichcq6rwe6kd465y	B	Umm. I think your argument is totally braindead and wrong. My counter-argument is very simple: "So what?"
3/13/2012 18:50:48	http://markmail.org/message/g3trnj5a24qwudha	B	Sorry, you're wrong. And Rafael *told* you why you are wrong, and you ignored him and talked about "exec" some more. So go back and read Rafael's email. ... So please, read the emails. People actually *agree* that the name may be a bit misleading, but instead of harping on bogus issues, just read the emails from people like Rafael about it. So STOP with this idiocy already. ... Seriously. Get that through your head already.
3/13/2012 19:20:48	http://markmail.org/message/juyi2s4trzco2u4t	C	So I have to say, I hate this entire series. ... So quite frankly, I think the whole series is total and utter garbage. And there isn't even any *explanation" for the garbage. You say that you are unifying things, but dammit, in order to unify them you end up *adding*new*f&^#ing*code*. ... So a honking big NAK on this whole series unless you can explain with numbers and show with numbers what the advantage of the abortion is.
3/16/2012 16:37:20	http://markmail.org/message/2akzikmz2ddlrpxw	C	Ugh, this is disgusting.
3/16/2012 22:51:09	http://markmail.org/message/awyyeypu2ephzrgw	B	Stop these idiotic games already! ... Your moronic "let's change the test to something else" is entirely and utterly misguided and totally misses the point. ... Stop the idiocy already. How hard is it to understand? How many times do people have to tell you? ... Rafael, please consider everything along these *IDIOTIC* lines completely NAK'ed. In fact, until Stephen starts showing any sign of understanding that it's not about just some random small detail, just ignore anything and everything from him. Stephen, you've been told multiple times that that WARN_ON() is correct. Until you understand that, just stop sending these entirely random patches that change it to something completely wrong. How hard can it be to understand that you cannot and must not load firmware when the system isn't up-and-running. And *dammit*, the fact that you send these kinds of completely nonsensical patches ... all you are showing is that you don't understand the problem. Stop, think, and read the emails that have been in this thread and that have explained how it *could* be solved. Until you do that, any patch you send is just worthless. Really.
3/21/2012 10:12:41	http://markmail.org/message/6frp6dt75hnwzdm3	C	Ugh. This is getting really ugly. ... because quite frankly, the whole spinunlock inlining logic is *already* unreadable, and you just made it worse.
3/22/2012 18:07:38	http://markmail.org/message/koy5eiv3bsbiqnhj	C	... Why do I call it a total disaster? ... More importantly, they are both IDENTICALLY BAD. They are crap because: ... Doing a function call for these things is stupid. ...
3/22/2012 20:15:36	http://markmail.org/message/6t2fviwfm4kb2xxp	B	... I will not be pulling this tree at all. It's pure and utter shit, and I wonder how long (forever?) this has been going on. ...the thing that makes me go "uhhuh, no way in *hell* should I pull this" is that you have apparently totally broken all sign-offs. Avi, you ABSOLUTELY MUST NOT rebase other peoples commits. That's a total no-no. And one thing I notice when I look through the commits is that you have totally broken the Signed-off-by: series in the process, exactly because what you do is crap, crap, CRAP. ... That's simply not true in your tree. Maybe because you have rebased other peoples (Alexander's) commits? I see commits where the sign-off ends with Alexander, but then the committer is you. WTF? Fix your f*cking broken shit *now*. I'm not pulling crap like this. And it makes me unhappy to realize that this has probably happened a long time and I haven't even noticed. The whole "you MUST NOT rebase other peoples commits" is the thing I've been telling people for *years* now. Why the hell is it still going on?
3/28/2012 21:24:18	http://markmail.org/message/gj44tkutjg4y7y6t	C	Ugh: ... Can we please move that abortion into arch/powerpc/? Instead of making generic code even uglier..
3/29/2012 12:31:52	http://markmail.org/message/shn5pikjabdiw4ss	P	Your original email used "torv...@osdl.org", which goes into a kind-of-black hole. Please fix whatever crazy-old address book you have - that address is old, old, old. Oh, and your *new* email had totally broken email headers too. WTF? That ... is just pure and utter garbage. What the hell is wrong with your email setup? When I reply to that email, I sure as hell want to reply to *you*, not to *me*. So fix your email, right now it's terminally broken. Will look at the pull requests now that I actually see them, and when I'm over being upset by your idiotic email issues.
3/30/2012 12:16:32	http://markmail.org/message/smg2va3obl3tjcgt	C	Finally, people - your merge messages suck. Leaving the list of conflicting files without talking about what the conflict actually was is *not* a good merge message. Len, you're not the only one that does this, but it is yet another reason why I absolutely detest some of the merges I see: they are just very uninformative, and don't add anything useful to the tree - quite the reverse. They hide a problem, without actually talking about what the problem was. ...And yes, sometimes my merge messages suck too (although I've tried very hard to become better at them).
3/30/2012 15:39:22	http://markmail.org/message/capsv5nvywxl7upx	B	Grr. Most of these patches have the same stupid problem: why the *hell* do you repeat the single-line top-level description in both the Subject line and the body of the email? It only results in stupid duplicate lines in the commit logs. This is a disease. I don't know who the heck started doing it, but it's WRONG. It's stupid. What broken piece-of-shit tool is it that does this braindamage? Fix it. Stop sending these broken commit messages to people. I'm grumpy, yes, because this is a common problem. I see it all over the place, and it makes our commit logs look f*cking retarded. ...
4/5/2012 10:09:33	http://markmail.org/message/bh4ync7fbykaxwzv	C	... Why has this been explicitly designed to be as ugly as humanly possible, and to be so inconvenient to parse too? ... So here's a serious suggestion: aim for "line oriented". ... ...That's stupid. Don't do it. ...Because this is just pure and utter *shit*: ...This part gets a big NAK from me. I don't see the point of this. It's pure crap. There's no advantage. And the "use an uint64_t" is a classic case of just being a f*cking moron. ...This is the kind of thinking and code that just makes me go "No way, not today, not ever". It's *stupid*.
4/9/2012 15:29:51	http://markmail.org/message/b6regz6h4iel6lyq	B	Oh, *HELL*NO*! It's a fucking disaster in "Oh, one notifier was broken, SO LET'S ADD ANOTHER RANDOM ONE TO FIX THAT". The definition of insanity is doing the same thing over and over and thinking you get a different result. Let's not do that kind of idiotic thing. Notifiers are evil crap. Let's make *fewer* of them, not add yet-another-random-notifier-for-some-random-reason. F*ck me, but how I hate those random notifiers. And I hate people who add them willy nilly.
4/12/2012 12:05:23	http://markmail.org/message/itukxtb7z2d5wh6w	B	...So stop complaining. Reverts really *are* just patches, Greg is 100% right, and you are simply wrong. ...and the fact that you *continue* to complain just makes you look stupid.
4/12/2012 14:33:47	http://markmail.org/message/ubwct7u24synra4k	P	You're a fucking moron. ... So just reverting it from stable, *WITHOUT LEARNING THE LESSON*, is not a no-op at all, it's a sign of being a f*cking moron. I'm stupider for just reading your email. Go away.
4/12/2012 15:07:29	http://markmail.org/message/lyo6lblmxx5ur454	P	Stop the idiotic arguing already.
4/13/2012 17:44:14	http://markmail.org/message/yrqadud37zpdpera	B	Please don't continue to spread this total bogosity. ...That's a total idiotic lie by C++ apologists, and I hate hearing it repeated over and over again. And it really *is* a lie. ... Which is clearly insane, but is also technically simply *wrong*. ... Which is utter and complete bullshit, and any amount of brains would have realized that ... It has always been just nothing but a moronic hang-up, and it has always been *wrong*. So don't spread that lie. It was wrong. ... which is pure and utter garbage. And then they lie, and claim that their *weaker* type system NULL is "stronger". Pure idiocy.
4/14/2012 0:51:09	http://markmail.org/message/apc5qjhvycfg5ufa	C	...And a C++ person who says that "(vodi *)0" is just any "void *" is a *fucking*moron*, ...There is absolutely *zero* excuse for the idiotic traditional C++ brain damage of saying "NULL cannot be '(void *)0', because 'void *' will warn". Anybody who says that is lying. ... The C++ people? They are morons, and they never got it, and in fact they spent much of their limited mental effort arguing against it. ... The whole "it's a stronger type system, so NULL has to be 0" is pure and utter garbage. It's wrong. It's stupid. ... Yeah, I'm not a fan of C++. It's a cruddy language.
4/14/2012 14:17:30	http://markmail.org/message/kpeen3tskyftasrs	C	They may be readable, but they are total shit. ... So no. Hell no.
4/15/2012 10:48:39	http://markmail.org/message/2okvqhgmmbk6mavm	P	And if you cannot understand what tens of people have tried to explain to you, you are just f*cking stupid.
4/16/2012 12:08:49	http://markmail.org/message/6lvn6z57ozzcmlm2	C	Ugh, I personally hate it. ... Your suggested format just sucks, and has the worst of all worlds.
4/24/2012 12:37:30	http://markmail.org/message/ls5g34xsirkagjdl	C	...This is wrong. Or at least stupid.
4/24/2012 18:45:51	http://markmail.org/message/ckcwu6icpdtzlum2	C	Oh christ. What insane version of gcc is that? Can you please make a gcc bug-report? ... is just so fricking stupid that it's outright buggy. That's just crazy. It's demented. It's an "and" with all bits set.
4/27/2012 9:35:35	http://markmail.org/message/7dwbpurjzcxumkyu	C	...which is obviously completely bogus - it's even broken the constant. Your address simplification does something horribly bad. ... That's a totally worthless instruction. ... That ",1" is completely bogus, and I don't understand why the tools show that idiotic format to begin with. It's pure garbage. It adds zero information.... That "0x0" is more useless garbage in the same vein. ... Btw, don't get me wrong. I really like the changes. 
5/9/2012 18:12:45	http://markmail.org/message/vrtkcayj2bi6v7uq	P	Oh christ, I also cannot be bothered to continue arguing with you since you seemingly randomly drop other people from the discussion. So don't expect any more replies from me.
5/10/2012 9:47:00	http://markmail.org/message/52znomrz6qlpykvz	B	Don't try to change the rules because you think you are "clever". You're only making things worse.
5/10/2012 14:57:45	http://markmail.org/message/mry6hxuhovio3ixb	B	So? Even if we hadn't had this bug before (we have), your argument is utter crap. ...Stop arguing for crap.
5/17/2012 15:31:37	http://markmail.org/message/n3unxmpwoyps6r7o	C	I absolutely detest these types. I realize that we already have a few users, but just looking at these diffs *hurts*. It's disgusting.
5/17/2012 20:33:21	http://markmail.org/message/6uyne3c5nu7rxxcl	C	Ok, this code is a rats nest. ... The code is crazy. It's an unreadable mess. Not surprising that it then also is buggy.... Looking at the code, I don't think it has been written by a human. ... Some of that code is clearly pure garbage. ... In fact, it's *all* crap. 
5/19/2012 10:08:31	http://markmail.org/message/livvej2ebcpk64zd	B	NAK NAK NAK. Ingo, please don't take any of these patches if they are starting to make NUMA scheduling be some arch-specific crap. Peter - you're way off base. You are totally and utterly wrong for several reasons: ...so making some arch-specific NUMA crap is *idiotic*. Your argument ...is pure crap. ... Christ, people. ...is just f*cking moronic. ... Stop the idiocy. ...
5/21/2012 16:43:34	http://markmail.org/message/aw2kxp3cyedu6shq	B	Wrong. ... so you're just full of it. ... Checking the MCE data is stupid and wrong. Stop doing it, and stop making idiotic excuses for it. ...you are just doing moronic things. Stop doing stupid things.
5/22/2012 19:50:06	http://markmail.org/message/ii4sismm64mozslm	C	Ugh. No. That is too disgusting for words.
5/24/2012 11:20:57	http://markmail.org/message/c3323f2ole4j2wxk	B	*NEITHER* of your points actually address my issue. ... IOW, why the hell do you set a name that is so useful that no sane person would ever want to use it? ... So let me be more blunt and direct: which part of "that's f*cking stupid" do you disagree with? So instead of making drivers do stupid things because you've made the input layer names so damn useless, why don't you make the input layer use better naming? Doesn't that seem to be the *smart* thing to do?
5/24/2012 13:10:51	http://markmail.org/message/d7bid3niqwudezo3	P	I'll let you think about just how stupid that comment was for a moment.
6/7/2012 17:25:11	http://markmail.org/message/t7l4p5mxplznn7x4	C	Ugh, looking more at the patch, I'm getting more and more convinces that it is pure and utter garbage. ... WTF? ... This is crap, guys. Seriously. Stop playing russian rulette with this code.
6/12/2012 8:26:01	http://markmail.org/message/rma3xbyetfmweigo	C	No, that's just crazy. Now you make broken shit code work, and then you break the *correct* code... Just face it: if somebody doesn't have an interrupt-time function pointer, they need to rethink their code. It's a mistake. It's broken shit. Why pander to crap? 
6/26/2012 12:00:56	http://markmail.org/message/ebs2pmmqdb7q65qq	C	This is too damn ugly. These kinds of "conditionally take lock" things are always just bugs waiting to happen. Don't do it. ... These kinds of "bool lock" crap things have to die. They are *wrong*. They are a sign of bad locking rules.
7/2/2012 15:22:55	http://markmail.org/message/smfscgbodyo7tffi	B	Umm. That just smells like BS to me. ... Also, your protection claim seems to be invalidated by the actual code. ... So your claim that it hedges around it by looking at the inquiry data is pure crap. It's simply not true. ... So no, I simply don't see the careful testing or the checking that you claim exists.
7/5/2012 11:34:49	http://markmail.org/message/vpm47rccr2tratwj	C	This is horrible, I think. NAK NAK NAK. ... So don't do this. It's stupid. ... I absolutely *detest* patches like this that make *practical* security worse, in the name of some idiotic theoretical worry that nobody has any reason to believe is real.
7/6/2012 13:29:38	http://markmail.org/message/qwv74fvg3pqnk4eo	B	Kay, this needs to be fixed. ... Of course, I'd also suggest that whoever was the genius who thought it was a good idea to read things ONE F*CKING BYTE AT A TIME with system calls for each byte should be retroactively aborted. Who the f*ck does idiotic things like that? How did they noty die as babies, considering that they were likely too stupid to find a tit to suck on?
7/9/2012 19:28:34	http://markmail.org/message/6ieajwxtjcw6ba3d	B	sizeof without parenthesis is an abomination, and should never be used. ... The sane solution is: just add the f*cking parenthesis, and don't use the parsing oddity. ... And talking about "prefix operators" is a moronic thing to do. ... Think of it as a function, and get over your idiotic pissing match over how long you've both known C. That's irrelevant. ...
7/11/2012 1:52:32	http://markmail.org/message/korjohhsmhlgcwti	C	Absolutely. Anybody who does that is just terminally confused. "return()" is in no way a function. ... Here's an example of a really bad use of "sizeof" that doesn't have the parenthesis around the argument: sizeof(*p)->member. Quite frankly, if you do this, you should be shot. ... And let's face it: if you write your code so that it's easy to parse for a machine, and ignore how easy it is to parse for a human, I don't want you writing kernel code. ...
7/15/2012 16:52:58	http://markmail.org/message/iig6w6kjn4x44a6c	C	... However, please don't use the *INSANE* ARM "v8" naming. There must be something in the water in Cambridge, but the ARM "version" naming is just totally broken. ...maybe it all makes sense if you have drunk the ARM cool-aid and have joined the ARM cult, but to sane people and outsiders, it is just a f*cking mess. So - aarch64 is just another druggie name that the ARM people came up with after drinking too much of the spiked water in cambridge. ... - armv8 is totally idiotic and incomprehensible to anybody else...complete and utter nonsense. It's only confusing. Christ. Seriously. The insanity is so strong in the ARM version names that it burns. If it really makes sense to anybody ... you need to have your head examined. So please don't use "aarch64", because it's just f*cking crazy. And please don't use "armv8", because it's just completely retarded and confused.
