# Author: Squire, M.
# License: Open Database License 1.0
# This data 2015LTinsultsLKML.tsv.txt is made available under the 
# Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. 
# Any rights in individual contents of the database are licensed under the 
# Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/ 
#
# filename: 2015LTinsultsLKML.tsv.txt
# explanation: 
# This data set is part of a larger group of data sets
# described in the paper below, and hosted on the FLOSSmole.org site. 
# Contains insults gleaned from messages sent to the LKML mailing list by 
# Linus Torvalds during the year 2015
#
# fields:
# date: this is the date the original email was sent
# IU permalink: this is a permalink to the email on Indiana University's LKML archive
# type: this is our code for what type of insult we think this is
# mail excerpt: this is the fragment of the email containing the insult(s). 
# Ellipses (...) have been added where necessary.
#
# Please cite the paper and FLOSSmole as follows:
#
# Citations:
# Squire, M. & Gazda, R. (2015). FLOSS as a source for profanity 
# and insults: Collecting the data. In Proceedings of 48th 
# Hawai'i International Conference on System 
# Sciences (HICSS-48). IEEE. Hawaii, USA. 5290-5298.
#
# Howison, J., Conklin, M., & Crowston, K. (2006). FLOSSmole: A 
# collaborative repository for FLOSS research data and analyses. 
# International Journal of Information Technology and Web 
# Engineering, 1(3), 17–26.
# 
date	IU permalink	type(code, personal, both, unsure)	mail excerpt
Thu Jan 01 2015 - 15:14:21 EST	http://lkml.iu.edu/hypermail/linux/kernel/1501.0/00127.html	B	So I'm not saying "ifconfig is wonderful". It's not. But I *am* saying that "changing user interfaces and then expecting people to change is f*cking stupid".... Because people who think that "we'll just redesign everything" are actually f*cking morons. Really. There's a real reason the kernel has the "no regression" policy. And that reason is that I'm not a moron.
Sun Jan 04 2015 - 15:22:52 EST	http://lkml.iu.edu/hypermail/linux/kernel/1501.0/00786.html	B	To quote the standard response for people who ignore regressions: "SHUT THE FUCK UP"...I don't understand how people can't get this simple thing. You have two choices: - acknowledge and fix regressions - get the hell out of kernel development....Christ people. Why does this even have to be discussed any more?...But you guys need to shape up. We don't break things....
Sun Jan 04 2015 - 15:58:52 EST	http://lkml.iu.edu/hypermail/linux/kernel/1501.0/00799.html	P	...End of discussion. Seriously. Your whinging about "support costs" is just crying over the fact that you have users. Deal with it. ...And dammit, I really never *ever* want to hear arguments against fixing regressions ever again. It really is the #1 rule for the kernel. There is *no* excuse for that NAK. There is only "sorry".
Sun Jan 04 2015 - 16:02:22 EST	http://lkml.iu.edu/hypermail/linux/kernel/1501.0/00803.html	B	Really. Shut up.... And if you aren't ok with "wasting time" on trying to give that kind of reassurances to users, then you shouldn't be working on the kernel. I'm serious about this. You really *need* to understand that. Your job as a kernel developer is very much to support the users. Not try to make it easy for *you* at the cost of being nasty for *them*.
Wed Jan 07 2015 - 19:57:38 EST	http://lkml.iu.edu/hypermail/linux/kernel/1501.0/03751.html	P	Yes, I actually would mind, unless you have a damn good reason for it....I really don't see why you should lie in your /proc/cpuinfo. ...Just give the real information. Don't lie. Quite frankly, the *only* actual real reason I've heard from you for not having the real bogomips there is "waste of time". And this whole thread has been *nothing* but waste of time. But it has been *you* wasting time, and that original commit. ... So quite frankly, my patience for you arguing "wasting time" is pretty damn low. I think your arguments are crap, I still think your NAK was *way* out of line, and I think it's completely *insane* to lie about bogomips. It's disasteful, it's dishonest, and there's no reason for it. ... Seriously, what kind of *insane* argument can you really marshal for lying to users?... Christ, this whole thing is annoying. I really find it *offensive* how you want to basically lie to users. Stop this idiocy. Really. There is no excuse.
Thu Jan 08 2015 - 00:04:40 EST	http://lkml.iu.edu/hypermail/linux/kernel/1501.1/00000.html	P	Fuck no. ... You are just making shit up. Bad shit. Get off the drugs, because it's not the good kind.... Cry me a river. ... Bullshit.  This whole thread is now marked as "muted" for me, because I can't take the BS any more. You make no sense. ...You're crazy. Go away. Or don't. I won't be seeing your emails anyway, so why would I care?
Sat Jan 10 2015 - 17:07:29 EST	http://lkml.iu.edu/hypermail/linux/kernel/1501.1/01747.html	C	Ugh.  This is too ugly, it needs to die.  ...   Because this is unreadable.
Thu Jan 29 2015 - 20:25:15 EST	http://lkml.iu.edu/hypermail/linux/kernel/1501.3/05334.html	C	Why do I say "total crap"? ...it's really wrong. ...  The comment is also crap. ... So doing this in "__may_sleep()" is just bogus and horrible horrible crap. It turns the "harmless ugliness" into a real *harmful* bug. ...  PeterZ, please don't make "debugging" patches like this. Ever again. Because this was just stupid, and it took me too long to realize that despite the warning being shut up, the debug patch was still actively doing bad bad things.
Sun Feb 01 2015 - 16:01:12 EST	http://lkml.iu.edu/hypermail/linux/kernel/1502.0/00120.html	C	Ugh.  This patch is too ugly to live. ...  I really detest debug code (or compiler warnings) that encourage people to write code that is *worse* than the code that causes the debug code or warning to trigger. It's fundamentally wrong when those "fixes" actually make the code less readable and maintainable in the long run.
Sun Feb 01 2015 - 18:09:44 EST	http://lkml.iu.edu/hypermail/linux/kernel/1502.0/00135.html	C	Because code like this is just crap:  ... really. It's just crazy.  It makes no sense. It's all just avoiding the warning, it's not making the code any better.
