# Author: Squire, M. & Gazda, R.
# License: Open Database License 1.0
# This data genderHicss2015.tsv is made available under the 
# Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. 
# Any rights in individual contents of the database are licensed under the 
# Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/ 
#
# filename: genderHicss2015.tsv
# explanation: 
# This data set is part of a larger group of data sets
# described in the paper below, and hosted on the FLOSSmole.org site. 
#
# fields:
# group: this is the software project
# medium: this is the type of communication artifact (irc or email)
# date: 
# user: first chatter
# message: the line with the gender stereotype
# user2: second chatter (if any)
# message2: continued gender stereotype (if any)
# coder: the person who coded these messages and followups
#
# Please cite the paper and FLOSSmole as follows:
#
# Citations:
# Squire, M. & Gazda, R. (2015). FLOSS as a source for profanity 
# and insults: Collecting the data. In Proceedings of 48th 
# Hawai'i International Conference on System 
# Sciences (HICSS-48). IEEE. Hawaii, USA. 5290-5298.
#
# Howison, J., Conklin, M., & Crowston, K. (2006). FLOSSmole: A 
# collaborative repository for FLOSS research data and analyses. 
# International Journal of Information Technology and Web 
# Engineering, 1(3), 17–26.
# 
group	medium	Date	User	Message	User2	Message2	coder
buddypress-dev	irc	9/16/2009	jjj	Using facebook as a real world example, it's the same as blocking an exgirlfriend from viewing your profile even though she is on your friends list.			ms
buddypress-dev	irc	1/13/2010	BenFremer	Did apeatling get married or a girlfriend or something? I hardly see him in here lately. :p			ms
buddypress-dev	irc	1/19/2010	apeatling_	my mom is not going to get +everyone !notification @bobsyouruncle			ms
buddypress-dev	irc	1/19/2010	jjj	Mom, that means you're telling everyone that Bob is your uncle, and you want them to know so strongly, that you want the website to notify them directly of that fact!			ms
buddypress-dev	irc	2/16/2010	andrea_r	also apeatling if it;s so easy your mom can install it, don;t let her talk to my mom. Sheesh. :D			ms
buddypress-dev	irc	2/16/2010	jjj	But could your mom do it?			ms
buddypress-dev	irc	2/16/2010	andrea_r	MY mom could do it.			ms
buddypress-dev	irc	2/16/2010	apeatling	my mom should be able to do it			ms
buddypress-dev	irc	2/16/2010	andrea_r	jjj: I can;t remember her oficial title, she gets mad when I call her a secretary. :D She works at a Youth Prison, of all thing..			ms
buddypress-dev	irc	2/18/2010	andrea_r	I liked it a lot. Do a girly version Bowe. ;P			ms
buddypress-dev	irc	2/18/2010	andrea_r	I am just a stay at home mom disguised as a WP pro			ms
buddypress-dev	irc	2/25/2010	sha1sum	it's always money or girls hehehe			ms
buddypress-dev	irc	2/25/2010	andrea_r	according to my son, girls take alot fo money too			ms
buddypress-dev	irc	2/25/2010	MikePratt	and she'll bake you sumpn' too			ms
buddypress-dev	irc	5/5/2010	MikePratt	it happened once on my dev site (which I keep faily open anyway) and i saw an easy pattern: she (always a chick) hit the 20 most recent usernames			ms
buddypress-dev	irc	7/7/2010	jjj	Don't want some poor innocent mommy-blogger to install BP and have her head spin off because of all the stuff it did to her website.			ms
buddypress-dev	irc	9/22/2010	techguy-bp	my policy of only following users with hot girls for their avatar is great			ms
buddypress-dev	irc	9/22/2010	techguy-bp	next up is the Girls of BP Calendar			ms
buddypress-dev	irc	10/6/2010	techguy-bp	jjj: I'd direct you to my follow list which I affectionately call the "Girls of BuddyPress" They'd be the best place to go for more hugs			ms
buddypress-dev	irc	8/7/2013	Mercime	what does the lady karmatosed want?			ms
buddypress-dev	irc	2/26/2014	boonebgorges	anyway, I think all of this can and probably should be done as a plugin, but I am always telling this to sooszkrista, and he really hates to hear it, so there's that :)	ubernaut	sooskarista is a woman	ms
django	irc	12/19/2013	mauricioantunes	and girls :)			ms
django	irc	11/22/2013	nbhosting	girl fight again?			ms
django	irc	9/19/2013	tavistock	punish grandmas ery day			ms
django	irc	9/2/2013	m0rpho	but thats so weird, a function that stopps without saying anything	mstrcnvs	or the angrygirlfriend bug, know that?	ms
django	irc	6/13/2013	superdmp	My girlfriend said: you spend too much time in front of that computer.			ms
django	irc	6/6/2013	xbbtx	man, teaching Django to my girlfriend isn't the easiest thing there is :P			ms
django	irc	5/30/2013	schinckel	(and girls)			ms
django	irc	5/30/2013	djangopy	sorry and girls ;)			ms
django	irc	2/15/2013	karim	(and girls)			ms
django	irc	1/23/2013	plabo	i do think that the django documentation needs a tutorial on how to act with your girlfriend when you are working. gosh.			ms
django	irc	1/19/2013	mushroomed	jhgaylor: Would you believe me if I tell you that my girlfriend has a Django pink pony screensaver on her cellphone?			ms
django	irc	1/19/2013	jhgaylor	mushroomed: girlfriend? what is this black magic you speak of.			ms
django	irc	1/2/2013	kimmo	what's this a girl who knows vim?			ms
django	irc	12/18/2012	uuipo	is it bad?	tompaw	that depends, u agirl or a dude?	ms
django	irc	12/15/2012	funkybob	well, wasn't that fun, boys and girl? :)			ms
django	irc	12/5/2012	mikewatt	hey guys. I'm having date trouble (no not with a girl)			ms
django	irc	11/18/2012	holocaine	FunkyBob gives his files to the SS.	funkybob	ACTION thinkgs of all the hot Jewishgirls he's met...	ms
django	irc	10/16/2012	lacrymology	fission6: it's three of us, a sysadmin, me, a programmer, and a girl who handles content			ms
django	irc	10/9/2012	superdmp	kezabelle: if you bang anything hard enough, you'll get something out worth using	funkybob	I bet you say that to _all_ the girls :P	ms
django	irc	10/6/2012	babysuperman	Personally, I think django is great for my preferences right now -- 5 years from now I might be using RoR. It's really all preference, PHP/ror/asp.net/django/flaskr... srsly, just gotta find the right girl			ms
django	irc	10/3/2012	pratz	Drager: hey my girl friend solved the problem	pratz	Drager: that's cool ha, girls are going smart these days	ms
django	irc	8/4/2012	quansai	Do girls like Django programmers?			ms
django	irc	7/31/2012	fission6	you should be done with that by now	z_a_m	eh I'm distracted by girls	ms
django	irc	7/12/2012	quansai	" Girls want guys who have computer hacking skills."			ms
django	irc	7/5/2012	tezro	I don't thing girls in any support could fix that )			ms
django	irc	5/29/2012	funkybob	[unless you're a brainless teenage girl, in which case you relate to sparkly vampires:P]			ms
django	irc	5/26/2012	eusid	got ya. see the site is for my girlfriend though so it needs to be easy. have you tried using any of the RTE with the upload file feature?			ms
django	irc	5/3/2012	zxq9	antihero: I'm almost positive that means there is something wacky about your dev environment. Something tiny, irritating, like that one detail you forgot about a ex girlfriend from 10 years ago that now drives your wife mad but you're oblivious to...	zxq9	antihero: You know, like most programming problems...	ms
django	irc	4/26/2012	nanonyme	glosoli, maybe someone comes and steals the video material of your girlfriend. :o			ms
django	irc	4/21/2012	viperfx	my mom will have no idea what a vps is			ms
django	irc	4/10/2012	|richard|	who is a girls ?:D			ms
django	irc	3/8/2012	eusid	fortunately with some of the later linux dists it is a reality for grandma and grandpa to use linux			ms
django	irc	2/3/2012	funkybob	then I got a girlfriend :P			ms
django	irc	10/9/2011	eusid	where the fuck do you find girls that know what linux is			ms
django	irc	9/23/2011	furao	I know a team of developers (4 guys) where their boss received various email or phone call from their girlfriends who said thanks for recent changes at their job, since they moved from PHP to python/django their personal life is better and they are less stressed			ms
openstack	irc	1/13/2011	fraggeln	stockpiling chocolate like a girl.. :D			ms
openstack	irc	6/27/2011	MarkusWPHRorg	IT girl came to install Viseo			ms
openstack	irc	8/23/2011	reidrac	s/smart guys/smart people/ (sorry girls)			ms
openstack	irc	9/7/2011	reidrac	he's getting a 412 error code	duranihep	and I'm a girl, dah~~	ms
openstack	irc	11/14/2011	vidd	all my sister ever does is ask beg me to disinfect her computers and bring over my punkin pie =]			ms
openstack	irc	1/19/2012	sogi	hello guys	sogi	(and girls maybe :) )	ms
openstack	irc	3/20/2012	dj_ryan	in a bit more of a meta note, why do when i look at the 'crowbar' project and read 'cd images' cry like a little girl?			ms
openstack	irc	11/23/2013	kseifried	because you have to wear clothes and shave	kseifried	and wear makeup if you're a girl	ms
openstack-dev	irc	4/17/2014	jaypipes	annegentle: there's girls in OpenStack? no way! :P			ms
openstack-infra	irc	1/21/2014	anteaya	NobodyCam: guys in the gender inclusive sense, of course?	portante	funny, if NobodyCam said, "Great Job girls!", girls in the gender inclusive sense, of course, would it come across in the same way?	ms
perl6	irc	5/11/2005	wolverian	(sorry, girlfriend took a bit of my attention :)			ms
perl6	irc	7/18/2005	wolverian	autrijus, I'll look into it! my girlfriend is over for the first time in a few weeks, so I'm a bit low on time			ms
perl6	irc	4/27/2009	sjn	moritz_: I'm sure your mom would be EXTATIC to use 5.10.0 :)			ms
perl6	irc	8/28/2009	sjohnson	what I need is "Teach Your Girlfriend Perl"			ms
perl6	irc	8/28/2009	sjohnson	be sure to order my previous bestselling volume: "Teach Your Girlfriend how to Setup a VCR"			ms
perl6	irc	12/1/2010	jnthn	I bet it even has a girlfriend.			ms
perl6	irc	9/24/2011	Woodi	teknology for grandmas often wins :)			ms
ubuntu	irc	9/14/2004	Kamion	fabbione: as long as it doesn't mean me staying up all night and ignoring my girlfriend			ms
ubuntu	irc	9/25/2004	pitti	lamont: actually I hoped to see some sexy girls before the release :-)			ms
ubuntu	irc	9/29/2004	jdub	Kamion: you don't tend to read knitting group lists though, to be fair :)	Kamion	jdub: my girlfriend reads knitting group lists and still often switches to a console when using Unix systems, so there :)	ms
ubuntu	irc	10/3/2004	pere	Pity though if there isnt a decent way to start it directly from the browser. Now I can't tell my girlfriend that in Linux she just can click on the movies she want to download (ehhh did I say movies?. I meant large iso files with linux distributions)			ms
ubuntu	irc	10/4/2004	pitti	Tsjoklat: you was the guy with the 24 hour CD download?	Tsjoklat	girl	ms
ubuntu	irc	10/7/2004	LinuxJones	jsut tell ur wife that microsoft has a new version out called Ubuntu :P			ms
ubuntu	irc	10/10/2004	Anna	But I should shut up again, I tend to interrupt the flow with my babble.	Anna	Well, what can I say, I'm a GIRL	ms
ubuntu	irc	10/10/2004		hazmat just came back from a conference (plone) 90/1 guy:girl ratio			ms
ubuntu	irc	10/10/2004	ioslipstream	seeing as ubuntu seems to do everything but send the girls to your door... can we expect the Hoary release to fill that gap, or should I file a bug report?			ms
ubuntu	irc	10/12/2004	dyn	as a long time linux user (debian, gentoo), i'm looking for a gf-compatible distribution which can be used offline with no net connection	dyn	as a long time linux user (debian, gentoo), i'm looking for a gf-compatible distribution which can be used offline with no net connection	ms
ubuntu	irc	10/12/2004	crimsun	gf == "girlfriend"?	dyn	crimsun: girlfriend of cource :)	ms
ubuntu	irc	10/12/2004	Sam0r	its a parody of geeks when a girl comes on a forum, and half of them say 'omg hi2u'			ms
ubuntu	irc	10/12/2004	dickmorrell	if you're calling me a girl ??			ms
ubuntu	irc	10/12/2004	dickmorrell	I think a few million Linux users might point out I'm hardly a girl more hairyassed codemonkey			ms
ubuntu	irc	10/14/2004	spooky1	because my girl prefers winblows			ms
ubuntu	irc	10/14/2004	tehmiller	that requires spending of funds	tehmiller	which will incur the bitching of the girlfriend	ms
ubuntu	irc	10/15/2004	Titbread	|trey|: and what are you some 30 year old looser who's fucked about 2 girls in his entire life .. nice one :)			ms
ubuntu	irc	10/15/2004	Titbread	AHAHAHAHA WHAT THE FUCK!!?? I'd screwed more girls then that when i was 14 fo fucks sake!!			ms
ubuntu	irc	10/15/2004	|trey|	Titbread: I fail to see how the amount of girls you've been with is relivant to anything? just for the record, I am a 20 yo that has been with 38 girls and counting though... just to prove you wrong :/			ms
ubuntu	irc	10/15/2004	Iorek	apt-get girlfriend			ms
ubuntu	irc	10/15/2004	jde	Iorek, you for got to install girlfriend.			ms
ubuntu	irc	10/15/2004	djuuss	Iorek tried to apt-get girlfriend			ms
ubuntu	irc	10/15/2004	|trey|	djuuss: blah... upgrade to friend-with-benifits, all the features of girlfriend, without all the bloat :)			ms
ubuntu	irc	10/15/2004	|trey|	djuuss: blah... upgrade to friend-with-benifits, all the features of girlfriend, without all the bloat :)	djuuss	|trey|: girlfriend without bloat? whats that? apt-get handjob?	ms
ubuntu	irc	10/15/2004	djuuss	|trey|: girlfriend without bloat? whats that? apt-get handjob?	jde	You can just get a girl that way without having to commit.	ms
ubuntu	irc	10/15/2004	jde	You can just get a girl that way without having to commit.	Iorek	cool, apt-get girlfriend crashed everything	ms
ubuntu	irc	10/16/2004	ranman	Why were you not able to use it for more than a week? Married, and your wife yelled about you always on the computer?			ms
ubuntu	irc	10/17/2004	ranman	tony first rule.. apt is your best friend.. It is is more faithful than your girlfriend..			ms
ubuntu	irc	10/17/2004	ranman	tony first rule.. apt is your best friend.. It is is more faithful than your girlfriend..	tony	Good....cause I dont have a girlfriend...	ms
ubuntu	irc	10/24/2004	cardador	a lot of people is against showing half naked people on the theme	cardador	eheh you have 2 girls and 1 man	ms
ubuntu	irc	10/24/2004	hypatia	one of the fundamental problems in society today: which gender should be forced to keep their clothes on?			ms
ubuntu	irc	10/24/2004	will	well, do a 'girls' pack option, with naked men, and a 'guys' pack with girls....SIMPLE			ms
ubuntu	irc	10/24/2004	sepheebear	was that the only black girl available? she's not even that hot. sorry to make such a deal out of it but it was a rude awakening after i rebooted			ms
ubuntu	irc	10/25/2004	ob	there's like.. a hug orgy with a black dude, a white chick, and a black chick.	ob	god that white girl is hot	ms
ubuntu	irc	10/25/2004	crimsun	i think it's a nice splash	AndyFitz	theantix: my girlfriend uses the computer quite often and we've resolved to the fact that having it at the top freaks her out.	ms
ubuntu	irc	10/25/2004	joolz	... the new artwork, is it here to stay?	Randomize	Only the guy. They're getting rid of the girls.	ms
ubuntu	irc	10/27/2004	sepheebear	speak for yourself, the guy in the picture looks pretty darn happy to me	|trey|	I would be too... 2 nekkid girls :/	ms
ubuntu	irc	10/27/2004	djempak	lol, what's wrong with half naked people? ;)			ms
ubuntu	irc	10/27/2004	toyowheelin	and the problem is its not approprate for a production enviroment	Espectro	the one showing 1 guy and 2 girls or something?	ms
ubuntu	irc	10/27/2004	zenwhen	Espectro, do you know what racy means?	Espectro	hot blonde babe, black girl for the "brothars" and vin diesel kind of guy	ms
ubuntu	irc	10/28/2004	BeanDip	WTF is up with that queer-ass theme this month?			ms
ubuntu	irc	10/28/2004	sg	it's a cool theme	bestadvocate	well the girls are hot	ms
ubuntu	irc	10/29/2004	opi^work	gonzokiwi: I see you're using same laptop as my girlfriend is			ms
ubuntu	irc	10/31/2004	SuitsixX	yeah new school mac users tend to be teen girls and thier rich mommies and daddies			ms
ubuntu	irc	10/31/2004	xskoulax	mmmm teen girls			ms
ubuntu	irc	10/31/2004	MrMario64	shame about losing the blonde girl on my ubuntu desktop			ms
ubuntu	irc	11/3/2004	philipp1	what do you all use for P2P ?	philipp1	what do you all use for P2P ?	ms
ubuntu	irc	11/3/2004	Gmail	or a girl	philipp1	a girl is a p2p app :-) ?	ms
ubuntu	irc	11/7/2004	kensai	I wish my girl friend changes to Linux			ms
ubuntu	irc	11/7/2004	cef_work	thoreauputic: I used to run a BBS.. and we had this one girl who called (yes, a girl, calling a BBS, back in '92 at the time) who was so dumb she chatted to the AI Chat program for almost an hour before she realised it was a bot.			ms
ubuntu	irc	11/10/2004	socomm	kapputu_: if you have a cute sister/girlfriend lets us know ;)			ms
ubuntu	irc	11/10/2004	ogra	stvn: try getting your mom installing packages with dselect *g*			ms
ubuntu	irc	11/11/2004	kapputu	I don't want to buy a card for him	kapputu	it's not even for a girl :-P	ms
ubuntu	irc	11/11/2004	kapputu	you convinced your wife to get linux ?			ms
ubuntu	irc	11/13/2004	epod	now, if ndiswrapper works, I'm going to be as giddy as a schoolgirl			ms
ubuntu	irc	11/13/2004	|trey|	Ruffian|JANE|, dude, just remove that line... and don't paste so much in here!	|trey|	uhh, s/dude/girl/ I think?	ms
ubuntu	irc	11/14/2004	zu22	check out the pic on the ubuntu site: http://www.ubuntulinux.org/login.jpeg there is some dude with no shirt on and some blond chick the camera is looking down her shirt at her big boobies	zu22	maybe if we use ubuntu we can all get hot girlfriend like her? hehe	ms
ubuntu	irc	11/14/2004	zu22	maybe if we use ubuntu we can all get hot girlfriend like her? hehe	zu22	chibifs: "damn if i install Ubuntu, that girl is MINE! " haha	ms
ubuntu	irc	11/14/2004	Tsjoklat	change your nick, you'll get banned	Tsjoklat	admit you are a girl, you'll get banned	ms
ubuntu	irc	11/14/2004	Tsjoklat	admit you are a girl, you'll get banned	Pizbit	Tsjoklat: You're a girl?:)	ms
ubuntu	irc	11/14/2004	Tsjoklat	lol you rather me be a bloke Pizbit?	dredg	oh, and sorry, there is this law about girls using computers. especially linux. you should be adoring puppies or something...	ms
ubuntu	irc	11/14/2004	linux_mafia	or girls as the case may be			ms
ubuntu	irc	11/17/2004	desp	I'm falling in love with Ubuntu	desp	that chocolate girl on the desktop is helping, too	ms
ubuntu	irc	11/17/2004	kensai	RuffianSoldier: I have more probs with Windows than with my ex-girlfriend ;)			ms
ubuntu	irc	11/19/2004	Pustulo	mmmm nipples			ms
ubuntu	irc	11/19/2004	Ruffian|JANE|	that black dudes a playa	Tsjoklat	I think it is a girl though	ms
ubuntu	irc	11/19/2004	pao	merlin0, :-)	merlin0	i love that brown girl!!	ms
ubuntu	irc	11/19/2004	merlin0	i love that brown girl!!	pao	merlin0, I'm waiting also for the white girl... :-)	ms
ubuntu	irc	11/20/2004	hacked`	guys	gen	girls	ms
ubuntu	irc	11/20/2004	LifesizeKenDoll	yea, he's a major lame-o	LifesizeKenDoll	the only other way to get him out is to have a girl over	ms
ubuntu	irc	11/20/2004		hypa7ia laughs at herself	LifesizeKenDoll	ah, it's a _girl_	ms
ubuntu	irc	11/20/2004	LifesizeKenDoll	hypa7ia, what made you abandon your roots of shopping and join the dark side?			ms
