# License: Open Database License 1.0
# This data genderLKMLHicss2015.tsv is made available under the 
# Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. 
# Any rights in individual contents of the database are licensed under the 
# Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/ 
#
# filename: genderLKMLHicss2015.tsv
# explanation: 
# This data set is part of a larger group of data sets
# described in the paper below, and hosted on the FLOSSmole.org site. 
#
# fields:
# group: this is the software project
# medium: this is the type of communication artifact (irc or email)
# date: 
# markmail permalink:
# message: the line with the gender stereotype
#
# Please cite the paper and FLOSSmole as follows:
#
# Citations:
# Squire, M. & Gazda, R. (2015). FLOSS as a source for profanity 
# and insults: Collecting the data. In Proceedings of 48th 
# Hawai'i International Conference on System 
# Sciences (HICSS-48). IEEE. Hawaii, USA. 5290-5298.
#
# Howison, J., Conklin, M., & Crowston, K. (2006). FLOSSmole: A 
# collaborative repository for FLOSS research data and analyses. 
# International Journal of Information Technology and Web 
# Engineering, 1(3), 17–26.
# 
group	medium	Date	markmail permalink	Message
lkml	email	4/17/2001 4:11:03	http://markmail.org/message/gwqnhjz3vpacglvs	The whole point of CML2 is to make kernel configuration something that Aunt Tillie (or a reasonable facsimile thereof) can do, and we are all Aunt Tillies from time to time.
lkml	email	4/17/2001 9:14:04	http://markmail.org/message/3uh23azsdmmusaok	Come on, that's absolutely a red herring.  There are valid reasons to want to configure your color schemes, but Aunt Tillie is not one of them.  Do you seriously believe the novice user will ever futz with a ~/.kernelconfigrc file?  I don't.  Only the (relatively) advanced user will bother to figure out stuff like that.
lkml	email	5/18/2001 7:53:31	http://markmail.org/message/ycfrlegvoxigymuq	I don't want to do (a); it conflicts with my design objective of simplifying configuration enough that Aunt Tillie can do it.
lkml	email	5/18/2001 8:11:01	http://markmail.org/message/fzzeg5imcvquex62	Aunt Tillie doesn't even know what a kernel is, nor does she want to. I think it's fair to assume that people who configure and compile their own kernel (as opposed to using the distribution supplied ones) know what they are doing.
lkml	email	5/18/2001 8:26:03	http://markmail.org/message/7unu5q5jiduoy3xt	Let's give Aunt Tillie a chance to surprise us.
lkml	email	5/18/2001 8:33:52	http://markmail.org/message/5mokc47bqcgo3lck	The big question is:  why on earth would Aunt Tillie _want_ to compile a kernel at all, let alone re-configure one?  If she's using Linux, she's installing her distribution's pre-compiled kernel, and has no need for anything else.
lkml	email	5/18/2001 8:37:04	http://markmail.org/message/fleauvwbjwgzxjpp	Don't get me wrong. I'm NOT opposed to having a config tool everyone and their aunt can use. I'm opposed to that tool taking away the options expert users have to do what they know is right for them.
lkml	email	5/18/2001 8:59:25	http://markmail.org/message/2va3sawjncndqas6	Not everyone falls into the "expert user" and "Aunt Tillie" categories. It's a *very* big grey area.
lkml	email	5/18/2001 9:08:47	http://markmail.org/message/pinexmar6jccawqh	Aunt Tillie shouldn't try to manually configure a kernel.
lkml	email	5/18/2001 9:16:53	http://markmail.org/message/dzeqblvrnyzio4iw	One of the reasons I keep Aunt Tillie in mind as a UI target is that if I can design a configuration system that makes the task possible for her, then I'll have one that makes it easy for this much larger class of intermediate-level users.
lkml	email	5/18/2001 9:43:33	http://markmail.org/message/fcdp37l2rxc7uimg	Ummm, maybe Aunt Tillie wants to learn how to configure a kernel.... After all, all of us at one point in time were newbies in terms of configuring kernels, etc.
lkml	email	5/18/2001 10:07:14	http://markmail.org/message/gyn3hlopbhk7h527	A little presumptuous, no?  I do in fact know an 'Aunt Tillie' type who configures her own kernel.  When she gets stuck she calls for help from her son, who is a computer geek.
lkml	email	5/18/2001 10:22:13	http://markmail.org/message/jet4wfon44pdpquu	And if she doesn't, maybe her teenage daughter Muffy wants to learn.  You know, the one with the unicorn appliques and the pink scrunchies and the Back Street Boys posters in her bedroom?Dammit, if we're serious about empowering people with free software we can't limit ourselves with the attitude that configuring kernels (or anything else) is the sacred preserve of a geek elite.
lkml	email	5/19/2001 3:55:12	http://markmail.org/message/7px6mqvv3mncjf4v	AND that is enough for some of the GUI kernel config tools out there to make an Aunt Tillie level config program. Yes they need to add extra information.
lkml	email	5/20/2001 8:33:47	http://markmail.org/message/4ycrwksspvmc7wfi	Some people have got it into their heads that the "Aunt Tillie" method of configuration will be the only one allowed.  They do not realise that this is the novice method, experts can still do what they like.
lkml	email	5/20/2001 8:34:04	http://markmail.org/message/mfsdpu2qz3yvhtjh	On one hand you have dependencies which are present to make life easier for Aunt Tillie, by refraining from confusing her with strange questions to which the answer is _probably_ 'no'. Like the question of whether she has an IDE controller on her MVME board.
lkml	email	5/20/2001 8:43:49	http://markmail.org/message/cajnp26ifgjlr6zi	What you call an `advisory' dependency would be simulated by having a policy symbol for Aunt Tillie mode and writing constraints like this: require AUNT_TILLIE implies FOO >= BAR
lkml	email	5/20/2001 10:47:09	http://markmail.org/message/bxoflogke2hgf3jm	In particular, please don't strive to make Aunt Tillie happy on the one occasion on which she configures her kernel at a cost of rendering CML2 less useful for those for whom kernel configuration is an every-day task.
lkml	email	5/20/2001 17:44:41	http://markmail.org/message/t42wc4saen2v6h5u	And yes Aunt Tillie might want to do so, if the person who sold her her Linux CD provided a bunch of scripts for packing up things in a specific way.
lkml	email	5/21/2001 4:32:27	http://markmail.org/message/bf73322rlxbm6bxn	If this is the case, then if a "hacker" type switches something explicitly then it'll stay there even if the default changes for that option in a future kernel.  Meanwhile, Aunt Tillie gets the changed default option applied with no extra effort.
lkml	email	5/21/2001 16:10:59	http://markmail.org/message/jko5bjbfhb7zxmrr	I think I'd like CML2 to remember which options are explicitly set and which ones I left alone (if it doesn't do so already) - that will go a long way towards helping Aunt Tillie in the long run.
lkml	email	12/28/2001 20:06:05	http://markmail.org/message/4lw3hhsxnvbd5uq5	Making end-user builds easier is NOT a primary nor secondary nor tertiary goal here. Make my life easier first.  Fuck Aunt Tillie.  Aunt Tillie can get her kernels from a vendor.
lkml	email	12/29/2001 20:24:07	http://markmail.org/message/vmcycuisjqaqgmpk	If theres a valid reason for Aunt Tillie to rebuild her kernel, it means her distro of choice is doing something wrong.
lkml	email	12/30/2001 6:37:07	http://markmail.org/message/ujfxrfhprzzb3dbf	Yes, Aunt Tillie should not have to build a new kernel. But 13-year-old Joe Geek might want to try that out, as well as your next door neighbor, who just might be an IT guy, trying to switch his department to Linux.
lkml	email	1/2/2002 16:58:14	http://markmail.org/message/keson44lkacytuzi	1 in 5 gets it right. Are the odds really worth the hassle just to keep Aunt Tillie happy ?
lkml	email	1/2/2002 19:39:01	http://markmail.org/message/6y5k3gvmvfkqhsyk	this implies Aunt Tillie knows she has ISA cards which gets everything right back to square one.
lkml	email	1/3/2002 1:18:53	http://markmail.org/message/j6rawhdjoh2uu74f	Making it _easier_ for Aunt Tillie to install something like 2.4.10 is not necessarily doing her a favour.
lkml	email	1/3/2002 5:35:24	http://markmail.org/message/plp23tfaxhfmlvjz	I'd wagger Aunt Tillie doesn't run Linux on Ye Olde Coffepot, but on a new, PCI-only machine. So this is doubly silly...
lkml	email	1/3/2002 5:46:25	http://markmail.org/message/zkhj3s74bgibl4se	*your* Aunt Tillie perhaps. I know several folks whose parents have now inherited their offsprings old computers, and are now using Linux on them to read their mail, write a book, whatever..
lkml	email	1/3/2002 6:11:39	http://markmail.org/message/tlgl45os3uupqcz2	Aunt Tillie doesn't build kernels; if she did she'd prefer to build a kernel that works everywhere.
lkml	email	1/3/2002 8:42:20	http://markmail.org/message/quw7azwufs2znofe	Why an average (non-hacker) Aunt Tillie won't be satisfied with e.g. Red Hat or Madrake or whatever kernel or an update is just way beyond me.
lkml	email	1/4/2002 1:56:10	http://markmail.org/message/cktw7donzmpopbzq	Linus shared Linux as a 'game' for other hackers (10 years ago). Now some 'Aunt Tillie' use Linux. Thus maybe in few years all 'Aunt Tillie' will compile the own kernel.
lkml	email	1/7/2002 12:12:59	http://markmail.org/message/4aaiprzccn7txktm	For anyone configuring a kernel who's not already an expert (we're not talking Aunt Tillie ... most technical folk shouldn't be kernel experts), that information can be important.
lkml	email	1/11/2002 16:35:07	http://markmail.org/message/m26eohmb6nmgl36s	I don't consider kernel compilation as a developer-only activity: we certainly don't expect Aunt Tillie to compile kernels, but it's expected almost every server admin will want/need to do it.
lkml	email	1/14/2002 5:32:31	http://markmail.org/message/qcczyopk2dvc3l4w	Can aunt tillie actually unscrew her case and insert a PCI card? More to the point, WOULD she?)
lkml	email	1/14/2002 6:00:15	http://markmail.org/message/z62d7y5hwyabstj4	All Aunt Tillie has to do is click on the update button.
lkml	email	1/14/2002 6:28:19	http://markmail.org/message/osvjxbhprqpih6j7	As for aunt tillie moving from red hat's kernel to linus's most recent kernel, is that advisable?
lkml	email	1/14/2002 7:39:03	http://markmail.org/message/t46f2ifuz6je6fgx	Anyway, if aunt tillie calls for her neighborhood computer mechanic, he's probably not going to be a particularly high powered geek. He may have aspirations of geekdom, but basically we're talking glorified tech support.
lkml	email	1/14/2002 9:52:06	http://markmail.org/message/u24xqumbwdjhssl6	Aunt Tillie probably thinks having a faster kernel will mean she can download images from her favorite knitting-pattern website more quickly. Aunt Tillie is a little confused about the difference between processor and network speed. ... Aunt Tillie is getting on in years; she isn't as good at retaining abstract facts as she used to be.
lkml	email	1/14/2002 10:38:02	http://markmail.org/message/ap67yygvg3zur2gi	If it screws up, and Aunt Tillie shelled out for support (which of course, she did being the 'needing support' type)
lkml	email	1/14/2002 10:53:19	http://markmail.org/message/jdjn3radcycjdlh2	Supporting products for Aunt Tillie is very different than supporting products for a bunch of hackers. One wants "it works" and the other wants "the source".
lkml	email	1/14/2002 10:53:50	http://markmail.org/message/p73j5enw3jba4a3x	And your belief that you *can* know it is a key part of the elitist developer psychology and implicit assumptions that keeps Linux mostly inaccessible to the Aunt Tillies of the world.
lkml	email	1/14/2002 10:54:46	http://markmail.org/message/7dx62cyy3utfe4md	Aunt Tillie is running Linux because someone installed a distribution for her.
lkml	email	1/14/2002 11:29:24	http://markmail.org/message/5hft4kzuvjm6hc5y	If there isn't such a distribution for her, she is no longer "Aunt Tillie", but has become "Aun7 71LL13" ;)
lkml	email	1/14/2002 11:44:59	http://markmail.org/message/3obb5wu22z3z36rl	if theres some whizzy-new-feature that Aunt Tillie really believes she'll need, there's more chance she'll find it in a prepackaged tested vendor kernel than stock kernel.
