# Author: Squire, M. & Gazda, R.
# License: Open Database License 1.0
# This data momHicss2015.tsv is made available under the 
# Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. 
# Any rights in individual contents of the database are licensed under the 
# Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/ 
#
# filename: momHicss2015.tsv
# explanation: 
# This data set is part of a larger group of data sets
# described in the paper below, and hosted on the FLOSSmole.org site. 
#
# fields:
# group: this is the software project
# medium: this is the type of communication artifact (irc or email)
# date: 
# sl_speaker: chatter who uttered the setup line / straight line (if any)
# straight line: the line that prompted the mom joke
# mom_speaker: chatter who uttered the mom joke
# mom_joke: the line that includes the mom joke
# coder: the person who coded these responses and setup lines
#
# Please cite the paper and FLOSSmole as follows:
#
# Citations:
# Squire, M. & Gazda, R. (2015). FLOSS as a source for profanity 
# and insults: Collecting the data. In Proceedings of 48th 
# Hawai'i International Conference on System 
# Sciences (HICSS-48). IEEE. Hawaii, USA. 5290-5298.
#
# Howison, J., Conklin, M., & Crowston, K. (2006). FLOSSmole: A 
# collaborative repository for FLOSS research data and analyses. 
# International Journal of Information Technology and Web 
# Engineering, 1(3), 17–26.
# 
group	medium	date	sl_speaker	straight line	mom_speaker	mom_joke	coder
django	irc	9/11/2012			babysuperman	alright noting: no more your mom jokes for bradleyayers	ms
django	irc	7/22/2011			eyepulp	Your mom can read pip's stuff...	ms
openstack	irc	12/30/2010	gholt	I wrote that particular stuff. And long before it was known we'd go "public" with it. Nice find.	jdarcy	Not quite as bad as test.yourmom, though.	ms
perl6	irc	3/23/2005	nothingmuch	i haven't done much either	stevan	nothingmuch: thats your mom :)	ms
perl6	irc	10/18/2006	PerlJam	ingy: There was an accident on a major highway here the other day. An 18-wheeler switched lanes into a car which spun out and hit another car which was knocked into a lady on a motorcycle. Â Guess who was the only one to get seriously hurt?	ingy	PerlJam: your mom?	ms
perl6	irc	6/1/2009	FurnaceBoy	hm. need to introduce deliberate imperfections	*Â masak	supresses a 'your mom' joke	ms
perl6	irc	12/8/2009	jnthn	Submethod	masak	.oO( "your mom is so Callable, she has a postcircumfix:<( )> method..." )	ms
perl6	irc	7/14/2010	moritz_	tylercurtis: note that this probably parses as .= (new() but Foo) and spits out nonesense	cxreg	your mom is an infinite iterator	ms
perl6	irc	1/27/2012	timotimo	that's excellent!	jnthn	So was your mom!	ms
perl6	irc	5/14/2012	PerlJam	I guess both orca and sharks are in the same phylum, so ... maybe there's some sense to be had.	masak	PerlJam: your mom is in the same phylum!	ms
perl6	irc	5/14/2012	masak	PerlJam: your mom is in the same phylum!	masak	srsly toothless "your mom" insults, part 18.	ms
perl6	irc	7/5/2012	pmichaud	the disks are especially sensitive to the Higgs field.	seldon	I sense a whole new class of "your mom" jokes.	ms
perl6	irc	7/5/2012	seldon	I sense a whole new class of "your mom" jokes.	*Â masak	wonders at which point during the 1900's prof. Higgs got tired of hearing "your mom" jokes	ms
perl6	irc	1/31/2013	masak	early findings: both the atom feed and the generated static html files contain the null bytes.	diakopter	your mom contains the null bytes	ms
perl6	irc	3/16/2013	timotimo	isn't that a bit unwieldy?	diakopter	oh, and, your mom is a bit unwieldy. Â not to mention she's a Brownian tree.	ms
