# Author: Squire, M. & Gazda, R.
# License: Open Database License 1.0
# This data twssHicss2015.tsv is made available under the 
# Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. 
# Any rights in individual contents of the database are licensed under the 
# Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/ 
#
# filename: twssHicss2015.tsv
# explanation: 
# This data set is part of a larger group of data sets
# described in the paper below, and hosted on the FLOSSmole.org site. 
#
# fields:
# group: this is the software project
# medium: this is the type of communication artifact (irc or email)
# date of chat: 
# suser: chatter who uttered the setup line
# setup line: the line that prompted the TWSS joke
# tuser: chatter who uttered the response twss line
# response line: the line that includes the double entendre twss
# coder: the person who coded these responses and setup lines
#
# Please cite the paper and FLOSSmole as follows:
#
# Citations:
# Squire, M. & Gazda, R. (2015). FLOSS as a source for profanity 
# and insults: Collecting the data. In Proceedings of 48th 
# Hawai'i International Conference on System 
# Sciences (HICSS-48). IEEE. Hawaii, USA. 5290-5298.
#
# Howison, J., Conklin, M., & Crowston, K. (2006). FLOSSmole: A 
# collaborative repository for FLOSS research data and analyses. 
# International Journal of Information Technology and Web 
# Engineering, 1(3), 17–26.
# 
group	medium	date of chat	suser	setup line	tuser	response line	coder
django	irc	1/3/2014	apollo13	FunkyBob: fuck, you are fast	funkybob	that's what SHE said :P	ms
django	irc	12/18/2013	johnnny22	i'll go simple at first, and grow it as I go :)	johnnny22	thats what she said	ms
django	irc	11/27/2013	svvitch	and is not necessary to use protection	koirikivi	that's what she said	ms
django	irc	3/21/2012	eedeep	shaon: so it's small	schinckel	eedeep: That's what she said.	ms
django	irc	2/23/2012	raydenuni	you're amazing!	funkybob	raydenuni: that's what SHE said! :P	ms
django	irc	1/30/2012	mgeary	i've got a weird one tonight	pymp	thast what she said	ms
django	irc	11/19/2011	spersaud	oh yeah oh yeah ? well you aint much help here buddy	funkybob	that's what SHE said!	ms
django	irc	9/14/2011	joshuajonah	the length issue is the problem	j00bar	joshuajonah: that's what she said	ms
django	irc	6/25/2011	superdmp	one must go down, in order to come up	mattmcc	That's what she said.	ms
openstack	irc	11/19/2013	Sam-I-Am	your 'tiny' flavor is a bit... not so tiny	mrproper	That's what she said	rg
openstack	irc	11/20/2013	Sam-I-Am	the tiny flavor is too tiny	Sam-I-Am	thats what she said	rg
openstack	irc	11/23/2013	kseifried	just jam it in	Sam-I-Am	thats what she said	rg
openstack-meeting	irc	11/2/2010	ttx	24 min. I've done shorter.	_0x44	ttx: That's what she said.	rg
perl6	irc	3/3/2009	pmichaud	that was longer than I expected. Â :-)	diakopter	(that's what she said)	ms
perl6	irc	3/3/2009	pmichaud	Yeah, I get that a lot. Â :-)	diakopter	(twss, again)	ms
perl6	irc	3/4/2009	justatheory	Why do people insist in putting things in me???	diakopter	that's what she said?	ms
perl6	irc	9/24/2009	pmichaud	ok	diakopter	twss.	ms
perl6	irc	11/5/2009	jnthn	oh! prefix karma!	diakopter	that's what she said!	ms
perl6	irc	3/6/2010	diakopter	but that's what I said	masak	that's what she said!	ms
perl6	irc	4/17/2010	p6eval	rakudo 78faa0: OUTPUTÂ«No applicable candidates found to dispatch to for 'infix:<does>'. Available candidates are:â¤:(Mu $do-it-to-me, Role $r)â¤:(Mu $do-it-to-me, ConcreteRole $r)â¤â¤current instr.: 'infix:<but>' pc 300187 (src/gen/core.pir:3700)â¤Â»	diakopter	erm. Â that's what she said.	ms
perl6	irc	7/31/2010	jnthn	Well fork me!	tadzik	That's what she said!	ms
perl6	irc	11/20/2010	masak	jnthn: you went immediately to 69? :P	jnthn	masak: That's what she said!	ms
perl6	irc	4/19/2011	masak	see? it's hard :)	*Â masak	.oO( yeah, yeah, twss... )	ms
perl6	irc	6/27/2011	masak	I can put my interface out in the sun.	diakopter	that's what she said	ms
perl6	irc	6/27/2011	PerlJam	masak: it runs off of your body-heat or possibly even your electrochemical interactions	PerlJam	masak: and that's *really* what she said Â :)	ms
perl6	irc	11/7/2011	masak	it should be biggest.	tadzik	(in different circumstances I'd have said "that's what she said")	ms
perl6	irc	3/30/2012	moritz	then I don't want to see it	LOLSOME	LOLOLOL That's what she said LOLOLOLOL	ms
perl6	irc	3/30/2012	cardcha	It wont log in	LOLSOME	LOLOLOL That's what she said LOLOLOLOL	ms
perl6	irc	3/30/2012	moritz	cardcha: please remove it right now	LOLSOME	LOLOLOL That's what she said LOLOLOLOL	ms
perl6	irc	3/30/2012	cardcha	I guess it knows that somebody from this ip is already logged in	LOLSOME	LOLOLOL That's what she said LOLOLOLOL	ms
perl6	irc	3/30/2012	cardcha	OMG	LOLSOME	LOLOLOL That's what she said LOLOLOLOL	ms
perl6	irc	3/30/2012	cardcha	it worked	LOLSOME	LOLOLOL That's what she said LOLOLOLOL	ms
perl6	irc	3/30/2012	cardcha	its super annoying	LOLSOME	LOLOLOL That's what she said LOLOLOLOL	ms
perl6	irc	5/3/2013	TimToady	.oO(Your girlfriend's computer does not reciprocate either...)	adu	that's what she said!	ms
ubuntu	irc	2/21/2005	Coily	wait... i got it :p	yokomo_	that's what she said	rg
ubuntu	irc	8/27/2006	Andy	i like the slow	skys123	Andy: thats what she said..	rg
ubuntu	irc	2/12/2007	NaPsTeR_	it was workinmg fine before	geemy	thats what she said	rg
ubuntu	irc	7/11/2007	Jordan_U	ant-, Don't use it first	ant-	Jordan_U, thats what she said...	rg
ubuntu	irc	8/20/2007	naksha	its like poking around in the dark	Mr_Awesome	naksha: thats what she said	rg
ubuntu	irc	10/15/2007	jdong	Evanlec: that's unusually long....	jdong	(that's what she said)	rg
ubuntu	irc	10/25/2007	mssever	charlescosmic: Try asking your question, all on one line. Maybe someone will see it	src	that's what she said	rg
ubuntu	irc	11/24/2007	PederB	hellonull: indeed. things are getting a bit large :P	hellonull	that's what she said	rg
ubuntu	irc	12/11/2007	cflopez	ok ok finally removed!	achandrashekar	cflopez: thats what she said...lol	rg
ubuntu	irc	12/25/2007	nickrud	bazhang, my skills are narrow and shallow :)	nushto	nickrud: that's what she said	rg
